id,abbr,name,greatrecessionavg,greatrecessionmax,week20200326,week20200402,week20200409
0,US,United States,482266.3537,956791,2920160,6015821,6203359
1,AL,Alabama,6679.012821,20894,10892,80984,105607
2,AK,Alaska,1729.948718,4160,7847,13774,15370
4,AZ,Arizona,5922.096154,11178,29348,88940,132189
5,AR,Arkansas,5077.160256,10489,9275,27756,60992
6,CA,California,58695.44872,95705,186333,1058325,925450
8,CO,Colorado,3525.064103,7284,19774,61838,45494
9,CT,Connecticut,5102.044872,13023,25100,33227,33418
10,DE,Delaware,1234.717949,3051,10776,19137,18863
11,DC,District of Columbia,426.1089744,1287,14462,15869,15393
12,FL,Florida,17966.99359,40403,74313,228484,169885
13,GA,Georgia,14155.70513,41522,12140,133820,388175
15,HI,Hawaii,1793.102564,3211,8815,48596,53082
16,ID,Idaho,2749.237179,7303,13586,32941,30022
17,IL,Illinois,17759.86538,34524,114114,178421,200940
18,IN,Indiana,10891.29487,28616,59755,139174,133639
19,IA,Iowa,5292.564103,13865,40952,55966,67334
20,KS,Kansas,3912.782051,18064,23563,54330,49756
21,KY,Kentucky,7974.333333,25057,49023,113149,117135
22,LA,Louisiana,3782.852564,28080,72438,97400,102985
23,ME,Maine,1677.705128,5634,21459,23770,30631
24,MD,Maryland,5775.198718,12031,42981,85317,107408
25,MA,Massachusetts,8881.442308,22028,148452,181423,139582
26,MI,Michigan,22013.13462,76702,128006,304335,384844
27,MN,Minnesota,6720.025641,15195,115773,109095,111119
28,MS,Mississippi,3477.442308,9420,5519,32015,46504
29,MO,Missouri,9226.724359,21413,42246,104291,82399
30,MT,Montana,1432.660256,3837,15349,20763,20011
31,NE,Nebraska,1637.179487,3780,15700,24725,26788
32,NV,Nevada,4765.173077,8945,92298,71942,79865
33,NH,New Hampshire,1413.442308,3594,29379,31378,36214
34,NJ,New Jersey,12255.35897,24095,115815,206253,213897
35,NM,New Mexico,1477.878205,3308,18105,27849,26606
36,NY,New York,24033.21154,54805,79999,366595,345246
37,NC,North Carolina,17174.64744,56647,94083,172145,137573
38,ND,North Dakota,610.2179487,2332,5662,11818,16093
39,OH,Ohio,16944.58974,40829,196309,274288,224182
40,OK,Oklahoma,2867.205128,6196,21926,47744,51124
41,OR,Oregon,9316.224359,20916,30054,47498,56646
42,PA,Pennsylvania,28262.39103,59669,377451,404677,283718
72,PR,Puerto Rico,3519.096154,7267,20148,45394,66349
44,RI,Rhode Island,1854.75,3987,35847,27800,28255
45,SC,South Carolina,7730.230769,22548,31826,66475,85018
46,SD,South Dakota,462.6346154,1382,1761,6801,7916
47,TN,Tennessee,8398.179487,30753,38077,92500,116141
48,TX,Texas,18092.48077,49398,155426,276185,313832
49,UT,Utah,2112.320513,5205,19690,28532,33076
50,VT,Vermont,1015.538462,2860,3784,14633,16176
78,VI,Virgin Islands,64.58333333,235,123,250,11
51,VA,Virginia,7098.121795,21862,46277,112497,149758
53,WA,Washington,11090.64103,26075,129909,182849,176827
54,WV,West Virginia,1747.076923,4368,3536,14523,14145
55,WI,Wisconsin,16025.12821,35885,51031,110934,104776
56,WY,Wyoming,565.3717949,1483,3653,6396,4900
